timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 15:45:15.394,mrleo-pod-bu-43,Running,minikube-m02,minikube,40,11
2024-06-11 15:45:32.298,mrleo-pod-bu-17,Running,minikube,minikube-m02,36,11
2024-06-11 15:45:33.772,mrleo-pod-bu-17,Succeeded,minikube,minikube-m02,36,11
2024-06-11 15:45:34.522,mrleo-pod-bu-17,Succeeded,minikube,minikube-m02,36,11
2024-06-11 15:45:35.642,julius-pod-bu-79,Pending,minikube,minikube-m02,105,11
2024-06-11 15:45:35.715,julius-pod-bu-79,Pending,minikube,minikube-m02,105,11
2024-06-11 15:45:37.854,julius-pod-bu-79,Running,minikube,minikube-m02,105,11
2024-06-11 15:45:46.224,aeneas-pod-bu-84,Pending,minikube,minikube-m02,45,11
2024-06-11 15:45:46.279,aeneas-pod-bu-84,Pending,minikube,minikube-m02,45,11
2024-06-11 15:45:47.613,aeneas-pod-bu-84,Running,minikube,minikube-m02,45,11
2024-06-11 15:46:12.648,julius-pod-bu-62,Running,minikube-m02,minikube-m02,73,0
2024-06-11 15:46:13.912,julius-pod-bu-62,Succeeded,minikube-m02,minikube-m02,73,0
2024-06-11 15:46:14.746,julius-pod-bu-62,Succeeded,minikube-m02,minikube-m02,73,0
2024-06-11 15:46:16.352,aeneas-pod-bu-85,Pending,minikube-m02,minikube-m02,34,0
2024-06-11 15:46:16.369,aeneas-pod-bu-85,Pending,minikube-m02,minikube-m02,34,0
2024-06-11 15:46:18.231,aeneas-pod-bu-85,Running,minikube-m02,minikube-m02,34,0
2024-06-11 15:46:21.507,mrleo-pod-bu-38,Running,minikube-m02,minikube,67,11
2024-06-11 15:46:22.894,mrleo-pod-bu-38,Succeeded,minikube-m02,minikube,67,11
2024-06-11 15:46:23.674,mrleo-pod-bu-38,Succeeded,minikube-m02,minikube,67,11
2024-06-11 15:46:24.626,aeneas-pod-bu-86,Pending,minikube-m02,minikube-m02,55,0
2024-06-11 15:46:24.655,aeneas-pod-bu-86,Pending,minikube-m02,minikube-m02,55,0
2024-06-11 15:46:25.792,aeneas-pod-bu-86,Running,minikube-m02,minikube-m02,55,0
2024-06-11 15:46:32.291,aeneas-pod-bu-72,Running,minikube,minikube-m02,19,11
2024-06-11 15:46:33.681,aeneas-pod-bu-72,Succeeded,minikube,minikube-m02,19,11
2024-06-11 15:46:34.569,aeneas-pod-bu-78,Running,minikube,minikube-m02,40,11
2024-06-11 15:46:34.663,aeneas-pod-bu-72,Succeeded,minikube,minikube-m02,19,11
2024-06-11 15:46:36.271,aeneas-pod-bu-78,Succeeded,minikube,minikube-m02,40,11
2024-06-11 15:46:37.053,aeneas-pod-bu-78,Succeeded,minikube,minikube-m02,40,11
2024-06-11 15:46:39.077,mrleo-pod-bu-44,Pending,minikube,minikube-m02,60,11
2024-06-11 15:46:39.140,mrleo-pod-bu-44,Pending,minikube,minikube-m02,60,11
2024-06-11 15:46:41.690,mrleo-pod-bu-44,Running,minikube,minikube-m02,60,11
2024-06-11 15:47:10.384,julius-pod-bu-79,Running,minikube,minikube-m02,105,11
2024-06-11 15:47:11.689,julius-pod-bu-79,Succeeded,minikube,minikube-m02,105,11
2024-06-11 15:47:12.528,aeneas-pod-bu-84,Running,minikube,minikube-m02,45,11
2024-06-11 15:47:12.543,julius-pod-bu-79,Succeeded,minikube,minikube-m02,105,11
2024-06-11 15:47:13.467,julius-pod-bu-92,Pending,minikube,minikube,13,0
2024-06-11 15:47:13.486,julius-pod-bu-92,Pending,minikube,minikube,13,0
2024-06-11 15:47:13.765,aeneas-pod-bu-84,Succeeded,minikube,minikube-m02,45,11
2024-06-11 15:47:14.683,julius-pod-bu-92,Running,minikube,minikube,13,0
2024-06-11 15:47:14.698,aeneas-pod-bu-84,Succeeded,minikube,minikube-m02,45,11
2024-06-11 15:47:15.112,aeneas-pod-bu-95,Pending,minikube,minikube,35,0
