timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:14:56.090,julius-pod-gu-224,Pending,minikube,minikube-m02,85,11
2024-06-11 17:14:56.744,julius-pod-gu-200,Succeeded,minikube,minikube-m02,62,11
2024-06-11 17:14:57.777,julius-pod-gu-224,Running,minikube,minikube-m02,85,11
2024-06-11 17:15:02.884,julius-pod-gu-212,Running,minikube,minikube,65,0
2024-06-11 17:15:04.027,julius-pod-gu-212,Succeeded,minikube,minikube,65,0
2024-06-11 17:15:04.703,julius-pod-gu-227,Pending,minikube,minikube-m02,54,11
2024-06-11 17:15:04.728,julius-pod-gu-227,Pending,minikube,minikube-m02,54,11
2024-06-11 17:15:04.930,julius-pod-gu-212,Succeeded,minikube,minikube,65,0
2024-06-11 17:15:05.965,julius-pod-gu-227,Running,minikube,minikube-m02,54,11
2024-06-11 17:15:26.395,aeneas-pod-gu-69,Running,minikube-m02,minikube,86,11
2024-06-11 17:15:27.555,aeneas-pod-gu-69,Succeeded,minikube-m02,minikube,86,11
2024-06-11 17:15:28.005,mrleo-pod-gu-77,Pending,minikube-m02,minikube-m02,63,0
2024-06-11 17:15:28.028,mrleo-pod-gu-77,Pending,minikube-m02,minikube-m02,63,0
2024-06-11 17:15:28.668,aeneas-pod-gu-69,Succeeded,minikube-m02,minikube,86,11
2024-06-11 17:15:29.678,mrleo-pod-gu-77,Running,minikube-m02,minikube-m02,63,0
2024-06-11 17:15:56.051,julius-pod-gu-218,Running,minikube,minikube,89,0
2024-06-11 17:15:57.208,julius-pod-gu-218,Succeeded,minikube,minikube,89,0
2024-06-11 17:15:57.595,julius-pod-gu-228,Pending,minikube,minikube-m02,60,11
2024-06-11 17:15:57.611,julius-pod-gu-228,Pending,minikube,minikube-m02,60,11
2024-06-11 17:15:58.239,julius-pod-gu-218,Succeeded,minikube,minikube,89,0
2024-06-11 17:15:59.283,julius-pod-gu-228,Running,minikube,minikube-m02,60,11
2024-06-11 17:16:02.373,julius-pod-gu-224,Running,minikube,minikube-m02,85,11
2024-06-11 17:16:03.530,julius-pod-gu-224,Succeeded,minikube,minikube-m02,85,11
2024-06-11 17:16:04.019,julius-pod-gu-234,Pending,minikube,minikube-m02,48,11
2024-06-11 17:16:04.058,julius-pod-gu-234,Pending,minikube,minikube-m02,48,11
2024-06-11 17:16:04.405,julius-pod-gu-224,Succeeded,minikube,minikube-m02,85,11
2024-06-11 17:16:05.455,julius-pod-gu-234,Running,minikube,minikube-m02,48,11
2024-06-11 17:16:09.288,mrleo-pod-gu-76,Running,minikube-m02,minikube,106,11
2024-06-11 17:16:10.538,mrleo-pod-gu-76,Succeeded,minikube-m02,minikube,106,11
2024-06-11 17:16:10.569,julius-pod-gu-227,Running,minikube,minikube-m02,54,11
2024-06-11 17:16:11.351,mrleo-pod-gu-76,Succeeded,minikube-m02,minikube,106,11
2024-06-11 17:16:11.556,aeneas-pod-gu-82,Pending,minikube-m02,minikube-m02,93,0
2024-06-11 17:16:11.596,aeneas-pod-gu-82,Pending,minikube-m02,minikube-m02,93,0
2024-06-11 17:16:11.736,julius-pod-gu-227,Succeeded,minikube,minikube-m02,54,11
2024-06-11 17:16:12.342,julius-pod-gu-245,Pending,minikube,minikube,107,0
2024-06-11 17:16:12.359,julius-pod-gu-245,Pending,minikube,minikube,107,0
2024-06-11 17:16:12.625,julius-pod-gu-227,Succeeded,minikube,minikube-m02,54,11
2024-06-11 17:16:13.383,aeneas-pod-gu-82,Running,minikube-m02,minikube-m02,93,0
2024-06-11 17:16:13.657,julius-pod-gu-245,Running,minikube,minikube,107,0
2024-06-11 17:16:51.982,mrleo-pod-gu-77,Running,minikube-m02,minikube-m02,63,0
2024-06-11 17:16:53.174,mrleo-pod-gu-77,Succeeded,minikube-m02,minikube-m02,63,0
2024-06-11 17:16:53.892,mrleo-pod-gu-91,Pending,minikube-m02,minikube-m02,103,0
2024-06-11 17:16:53.907,mrleo-pod-gu-91,Pending,minikube-m02,minikube-m02,103,0
2024-06-11 17:16:54.014,mrleo-pod-gu-77,Succeeded,minikube-m02,minikube-m02,63,0
2024-06-11 17:16:55.041,mrleo-pod-gu-91,Running,minikube-m02,minikube-m02,103,0
2024-06-11 17:17:04.761,julius-pod-gu-228,Running,minikube,minikube-m02,60,11
2024-06-11 17:17:05.976,julius-pod-gu-228,Succeeded,minikube,minikube-m02,60,11
2024-06-11 17:17:06.819,julius-pod-gu-228,Succeeded,minikube,minikube-m02,60,11
2024-06-11 17:17:06.942,julius-pod-gu-257,Pending,minikube,minikube,68,0
