timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 16:25:55.306,aeneas-pod-be-26,Running,minikube-m02,minikube-m02,300,0,
2024-12-06 16:25:55.498,aeneas-pod-be-18,Succeeded,minikube-m02,minikube-m02,558,0,36864
2024-12-06 16:25:55.562,julius-pod-be-73,Succeeded,minikube,minikube,183,0,18071
2024-12-06 16:25:55.569,julius-pod-bu-87,Running,minikube-m02,minikube,254,22,
2024-12-06 16:25:55.586,aeneas-pod-bu-118,Running,minikube-m02,minikube-m02,309,0,
2024-12-06 16:25:55.596,mrleo-pod-bu-65,Running,minikube-m02,minikube-m02,162,0,
2024-12-06 16:25:55.601,mrleo-pod-gu-62,Running,minikube-m02,minikube,235,21,
2024-12-06 16:25:55.621,mrleo-pod-bu-63,Pending,minikube,minikube-m02,83,21,
2024-12-06 16:25:55.629,aeneas-pod-bu-48,Running,minikube-m02,minikube-m02,599,0,
2024-12-06 16:25:55.635,aeneas-pod-bu-117,Pending,minikube-m02,minikube-m02,509,0,
2024-12-06 16:25:55.653,mrleo-pod-bu-63,Pending,minikube,minikube-m02,83,21,
2024-12-06 16:25:55.677,aeneas-pod-be-120,Pending,minikube,minikube,393,0,
2024-12-06 16:25:55.683,aeneas-pod-bu-117,Pending,minikube-m02,minikube-m02,509,0,
2024-12-06 16:25:55.707,aeneas-pod-gu-125,Pending,minikube,minikube,388,0,
2024-12-06 16:25:55.729,aeneas-pod-be-120,Pending,minikube,minikube,393,0,
2024-12-06 16:25:55.747,julius-pod-bu-79,Succeeded,minikube-m02,minikube,236,22,18256
2024-12-06 16:25:55.762,aeneas-pod-gu-125,Pending,minikube,minikube,388,0,
2024-12-06 16:25:55.785,aeneas-pod-bu-25,Running,minikube-m02,minikube-m02,354,0,
2024-12-06 16:25:55.794,aeneas-pod-be-127,Pending,minikube-m02,minikube-m02,268,0,
2024-12-06 16:25:55.821,aeneas-pod-bu-129,Pending,minikube-m02,minikube-m02,478,0,
2024-12-06 16:25:55.839,aeneas-pod-be-127,Pending,minikube-m02,minikube-m02,268,0,
2024-12-06 16:25:55.851,aeneas-pod-bu-129,Pending,minikube-m02,minikube-m02,478,0,
2024-12-06 16:25:55.865,aeneas-pod-gu-131,Pending,minikube,minikube,427,0,
2024-12-06 16:25:55.884,aeneas-pod-gu-131,Pending,minikube,minikube,427,0,
2024-12-06 16:25:55.934,aeneas-pod-bu-21,Succeeded,minikube-m02,minikube-m02,399,0,27294
2024-12-06 16:25:55.952,mrleo-pod-be-61,Succeeded,minikube-m02,minikube,172,21,20405
2024-12-06 16:25:56.000,aeneas-pod-be-23,Succeeded,minikube-m02,minikube-m02,323,0,27360
2024-12-06 16:25:56.277,aeneas-pod-bu-46,Running,minikube,minikube,447,0,
2024-12-06 16:25:56.674,mrleo-pod-bu-63,Running,minikube,minikube-m02,83,21,
2024-12-06 16:25:56.744,aeneas-pod-gu-42,Running,minikube,minikube,609,0,
2024-12-06 16:25:56.797,aeneas-pod-gu-38,Running,minikube,minikube,502,0,
2024-12-06 16:25:56.849,julius-pod-be-73,Succeeded,minikube,minikube,183,0,19358
2024-12-06 16:25:56.894,aeneas-pod-be-109,Running,minikube,minikube,323,0,
2024-12-06 16:25:56.975,julius-pod-gu-115,Running,minikube-m02,minikube-m02,214,0,
2024-12-06 16:25:57.040,aeneas-pod-bu-45,Running,minikube,minikube,364,0,
2024-12-06 16:25:57.113,mrleo-pod-be-66,Pending,minikube-m02,minikube-m02,130,0,
2024-12-06 16:25:57.143,mrleo-pod-be-66,Pending,minikube-m02,minikube-m02,130,0,
2024-12-06 16:25:57.155,julius-pod-bu-119,Pending,minikube,minikube,340,0,
2024-12-06 16:25:57.191,aeneas-pod-gu-130,Pending,minikube-m02,minikube,672,24,
2024-12-06 16:25:57.220,julius-pod-bu-119,Pending,minikube,minikube,340,0,
2024-12-06 16:25:57.249,aeneas-pod-gu-130,Pending,minikube-m02,minikube,672,24,
2024-12-06 16:25:57.256,aeneas-pod-gu-135,Pending,minikube-m02,minikube,397,24,
2024-12-06 16:25:57.285,aeneas-pod-gu-135,Pending,minikube-m02,minikube,397,24,
2024-12-06 16:25:57.338,aeneas-pod-bu-13,Succeeded,minikube,minikube,464,0,28709
2024-12-06 16:25:57.355,aeneas-pod-bu-129,Running,minikube-m02,minikube-m02,478,0,
2024-12-06 16:25:57.378,aeneas-pod-be-23,Succeeded,minikube-m02,minikube-m02,323,0,38745
2024-12-06 16:25:57.453,mrleo-pod-be-61,Succeeded,minikube-m02,minikube,172,21,21901
2024-12-06 16:25:57.547,aeneas-pod-gu-44,Running,minikube-m02,minikube-m02,617,0,
2024-12-06 16:25:57.610,aeneas-pod-bu-21,Succeeded,minikube-m02,minikube-m02,399,0,28976
2024-12-06 16:25:57.644,aeneas-pod-bu-117,Running,minikube-m02,minikube-m02,509,0,
2024-12-06 16:25:58.010,julius-pod-bu-87,Succeeded,minikube-m02,minikube,254,22,28167
2024-12-06 16:25:58.067,aeneas-pod-be-26,Succeeded,minikube-m02,minikube-m02,300,0,27833
2024-12-06 16:25:58.139,aeneas-pod-bu-51,Running,minikube,minikube,335,0,
2024-12-06 16:25:58.169,julius-pod-be-90,Succeeded,minikube-m02,minikube-m02,155,0,42321
2024-12-06 16:25:58.175,aeneas-pod-gu-125,Running,minikube,minikube,388,0,
2024-12-06 16:25:58.181,aeneas-pod-bu-48,Succeeded,minikube-m02,minikube-m02,599,0,36347
2024-12-06 16:25:58.216,aeneas-pod-gu-131,Running,minikube,minikube,427,0,
